id,product-name,console-name,price-in-pennies,include-string,condition-string,sku,notes,cost-basis-in-pennies,quantity,date-entered,date-purchased,grading-company,grading-cert-id,folder
8871145,Torkoal [Reverse Holo] #25,Pokemon Journey Together,12,Ungraded,Normal wear,,,0,1,2025-04-20,,,,REVERSE HOLO LOT
5605887,Probopass [Reverse Holo] #146,Pokemon Obsidian Flames,19,Ungraded,Normal wear,,,0,1,2025-04-16,,,,REVERSE HOLO LOT
2456,Pokemon FireRed,GameBoy Advance,13999,Item only,Normal wear,,,0,1,2025-05-06,,,,
3374,Mario Golf Toadstool Tour,Gamecube,2827,"Item, Box, and Manual",Normal wear,,,0,1,2025-05-06,,,,
2575171,Skull Red Bird SKE-010,YuGiOh Starter Deck: Kaiba Evolution,35,Ungraded,Normal wear,,,0,1,2025-04-18,,,,YUGIOH
5605852,Larvitar [Reverse Holo] #105,Pokemon Obsidian Flames,25,Ungraded,Normal wear,,,0,1,2025-04-16,,,,REVERSE HOLO LOT
5605723,Scizor #205,Pokemon Obsidian Flames,1016,Ungraded,Normal wear,,,0,1,2025-04-16,,,,NOT A 10
8871101,Druddigon [Reverse Holo] #115,Pokemon Journey Together,11,Ungraded,Normal wear,,,0,1,2025-04-20,,,,REVERSE HOLO LOT
8871260,Metagross #63,Pokemon Journey Together,62,Ungraded,Normal wear,,,0,2,2025-04-20,,,,
8871139,Dudunsparce ex #121,Pokemon Journey Together,110,Ungraded,Normal wear,,,0,1,2025-04-20,,,,
8561118,Alperen Sengun #1,Basketball Cards 2024 Panini Prizm Global Reach,124,Ungraded,Normal wear,,,0,1,2025-04-19,,,,
2575270,Uraby SDP-006,YuGiOh Starter Deck: Pegasus,20,Ungraded,Normal wear,,,0,1,2025-04-18,,,,YUGIOH
2544151,Nightmare Penguin RDS-EN010,YuGiOh Rise of Destiny,37,Ungraded,Normal wear,,,0,1,2025-04-18,,,,YUGIOH
8728994,Johnny Furphy #RJS-JFP,Basketball Cards 2024 Panini Court Kings Rookie Swatch,500,Ungraded,Normal wear,,,0,1,2025-04-16,,,,CHECK CENTERING
8871146,Tropius #123,Pokemon Journey Together,11,Ungraded,Normal wear,,,0,1,2025-04-20,,,,
4126,Pokemon Trozei,Nintendo DS,6060,"Item, Box, and Manual",Normal wear,,,0,1,2025-05-06,,,,
2575538,Zombyra the Dark [1st Edition] SYE-022,YuGiOh Starter Deck: Yugi Evolution,149,Ungraded,Normal wear,,,0,1,2025-04-18,,,,CHECK CENTERING
3380,Mario Party 7,Gamecube,6108,"Item, Box, and Manual",Normal wear,,,0,1,2025-05-06,,,,
8531534,Deni Avdija [Silver] #13,Basketball Cards 2024 Panini Prizm,151,Ungraded,Normal wear,,,0,1,2025-04-17,,,,2025 PRIZMS
2530903,Giltia the D. Knight MRD-094,YuGiOh Metal Raiders,80,Ungraded,Normal wear,,,0,1,2025-04-18,,,,YUGIOH
8225751,Ben Sheppard #RJA-BES,Basketball Cards 2023 Topps Midnight Rookie Jersey Autograph,321,Ungraded,Normal wear,,,0,1,2025-04-16,,,,PERSONAL COLLECTION
8728258,Jermaine O'Neal [Amber] #II-ONE,Basketball Cards 2024 Panini Court Kings Impressionist Ink,1050,Ungraded,Normal wear,,,0,1,2025-04-16,,,,CHECK CENTERING
8871218,Oinkologne #140,Pokemon Journey Together,40,Ungraded,Normal wear,,,0,2,2025-04-20,,,,
2120,Donkey Kong Country,GameBoy Advance,2168,Item only,Normal wear,,,0,1,2025-05-06,,,,
4526792,Isaiah Jackson #RS-IJA,Basketball Cards 2021 Panini Prizm Rookie Signatures,287,Ungraded,Normal wear,,,482,1,2025-04-16,,,,PERSONAL COLLECTION
2575265,Red Archery Girl SDP-002,YuGiOh Starter Deck: Pegasus,33,Ungraded,Normal wear,,,0,1,2025-04-18,,,,YUGIOH
3254,Donkey Kong Jungle Beat,Gamecube,3380,"Item, Box, and Manual",Normal wear,,,0,1,2025-05-06,,,,
8533516,Nicolas Claxton #38,Basketball Cards 2024 Panini Prizm,150,Ungraded,Normal wear,,,0,1,2025-04-19,,,,
10235,Zelda Phantom Hourglass,Nintendo DS,2737,Item only,Normal wear,,,0,1,2025-05-06,,,,
5605823,Toxel [Reverse Holo] #71,Pokemon Obsidian Flames,29,Ungraded,Normal wear,,,0,1,2025-04-16,,,,REVERSE HOLO LOT
4079,Mario Hoops 3 on 3,Nintendo DS,2102,"Item, Box, and Manual",Normal wear,,,0,1,2025-05-06,,,,
8531516,Deni Avdija #13,Basketball Cards 2024 Panini Prizm,119,Ungraded,Normal wear,,,0,1,2025-04-19,,,,
5605785,Entei [Reverse Holo] #30,Pokemon Obsidian Flames,50,Ungraded,Normal wear,,,0,1,2025-04-16,,,,HOLO LOT
4934183,Cyclizar [Reverse Holo] #163,Pokemon Scarlet & Violet,22,Ungraded,Normal wear,,,0,1,2025-04-16,,,,REVERSE HOLO LOT
8560295,Alexandre Sarr #9,Basketball Cards 2024 Panini Prizm Deep Space,99,Ungraded,Normal wear,,,0,1,2025-04-18,,,,
8543064,Shaedon Sharpe #144,Basketball Cards 2024 Panini Prizm,99,Ungraded,Normal wear,,,0,1,2025-04-19,,,,
8560682,Ryan Dunn #22,Basketball Cards 2024 Panini Prizm Emergent,128,Ungraded,Normal wear,,,0,1,2025-04-17,,,,
2593976,Silent Swordsman LV7 WC5-EN001,YuGiOh 7 Trials to Glory: World Championship Tournament 2005,786,Ungraded,Normal wear,,,0,1,2025-04-16,,,,CHECK CENTERING
31034,Pokemon Black,Nintendo DS,10761,"Item, Box, and Manual",Normal wear,,,0,1,2025-05-06,,,,
8846233,Jaren Jackson Jr. [Green] #140,Basketball Cards 2024 Panini Prizm,125,Ungraded,Normal wear,,,0,1,2025-04-19,,,,2025 PRIZMS
1341278,Zapdos #30,Pokemon Fossil,667,Ungraded,Normal wear,,,0,1,2025-04-18,,,,PERSONAL COLLECTION
8560536,Kyshawn George [Green] #3,Basketball Cards 2024 Panini Prizm Emergent,142,Ungraded,Normal wear,,,0,1,2025-04-18,,,,2025 PRIZMS
8846193,Shai Gilgeous-Alexander [Green] #113,Basketball Cards 2024 Panini Prizm,169,Ungraded,Normal wear,,,0,1,2025-04-19,,,,2025 PRIZMS
2543725,Sasuke Samurai 2 [1st Edition] DCR-059,YuGiOh Dark Crisis,35,Ungraded,Normal wear,,,0,1,2025-04-18,,,,YUGIOH
8871168,Komala #129,Pokemon Journey Together,32,Ungraded,Normal wear,,,0,2,2025-04-20,,,,
8560250,Anthony Edwards [Silver] #3,Basketball Cards 2024 Panini Prizm Deep Space,127,Ungraded,Normal wear,,,0,1,2025-04-17,,,,2025 PRIZMS
8533922,Miles Bridges #43,Basketball Cards 2024 Panini Prizm,100,Ungraded,Normal wear,,,0,1,2025-04-19,,,,
8871174,Cramorant [Reverse Holo] #137,Pokemon Journey Together,41,Ungraded,Normal wear,,,0,1,2025-04-20,,,,REVERSE HOLO LOT
16049,Rune Factory 2,Nintendo DS,2865,Item only,Normal wear,,,0,1,2025-05-06,,,,
19366,GBA Video Nicktoons Collection Volume 3,GameBoy Advance,9333,Item only,Normal wear,,,0,1,2025-05-06,,,,
2574,Spyro Attack of the Rhynocs,GameBoy Advance,1269,Item only,Normal wear,,,0,1,2025-05-06,,,,
8550203,Bub Carrington #244,Basketball Cards 2024 Panini Prizm,298,Ungraded,Normal wear,,,0,2,2025-04-18,,,,
8871326,Banette [Reverse Holo] #60,Pokemon Journey Together,37,Ungraded,Normal wear,,,0,1,2025-04-20,,,,REVERSE HOLO LOT
2546218,Familiar-Possessed - Aussa EEN-EN026,YuGiOh Elemental Energy,20,Ungraded,Normal wear,,,0,1,2025-04-18,,,,YUGIOH
8871175,Drampa #130,Pokemon Journey Together,28,Ungraded,Normal wear,,,0,2,2025-04-20,,,,
8871135,Dunsparce #120,Pokemon Journey Together,34,Ungraded,Normal wear,,,0,2,2025-04-20,,,,
2575061,Blue-Eyes White Dragon SDK-001,YuGiOh Starter Deck: Kaiba,1999,Ungraded,Normal wear,,,0,1,2025-04-16,,,,CHECK CENTERING
8883280,Hop's Wooloo #170,Pokemon Journey Together,362,Ungraded,Normal wear,,,0,1,2025-04-20,,,,NOT A 10
2575279,Man-Eater Bug SDP-015,YuGiOh Starter Deck: Pegasus,82,Ungraded,Normal wear,,,0,1,2025-04-18,,,,CHECK CENTERING
3223,Digital AV Component Cable,Gamecube,23050,Item only,Normal wear,,,0,1,2025-05-06,,,,
8560247,Anthony Edwards #3,Basketball Cards 2024 Panini Prizm Deep Space,100,Ungraded,Normal wear,,,0,1,2025-04-17,,,,
849200,Seviper #11,Pokemon Sandstorm,1992,Ungraded,Normal wear,,,0,1,2025-04-18,,,,PERSONAL COLLECTION
8555193,Trayce Jackson-Davis #188,Basketball Cards 2024 Panini Prizm,149,Ungraded,Normal wear,,,0,1,2025-04-19,,,,
2575274,Hane-Hane SDP-010,YuGiOh Starter Deck: Pegasus,25,Ungraded,Normal wear,,,0,1,2025-04-18,,,,YUGIOH
2460,Pokemon Mystery Dungeon Red Rescue Team,GameBoy Advance,2948,Item only,Normal wear,,,0,1,2025-05-06,,,,
3979,Action Replay DS,Nintendo DS,3531,Item only,Normal wear,,,0,1,2025-05-06,,,,
8871110,Accelgor [Reverse Holo] #13,Pokemon Journey Together,15,Ungraded,Normal wear,,,0,1,2025-04-20,,,,REVERSE HOLO LOT
2545495,Grave Lure TLM-EN056,YuGiOh The Lost Millennium,24,Ungraded,Normal wear,,,0,1,2025-04-18,,,,YUGIOH
8871109,Hop's Snorlax [Reverse Holo] #117,Pokemon Journey Together,115,Ungraded,Normal wear,,,0,1,2025-04-20,,,,HOLO LOT
91042,Gameboy Advance Wireless Adapter,GameBoy Advance,2757,Item only,Normal wear,,,0,1,2025-05-06,,,,
1341704,Trapinch [Reverse Holo] #40,Pokemon Shining Fates,24,Ungraded,Normal wear,,,0,1,2025-04-16,,,,REVERSE HOLO LOT
8561355,Donovan Clingan [Silver] #15,Basketball Cards 2024 Panini Prizm Instant Impact,146,Ungraded,Normal wear,,,0,1,2025-04-19,,,,2025 PRIZMS
8225260,Jalen Rose [Twilight] #HS-JR,Basketball Cards 2023 Topps Midnight Horizon Signature,663,Ungraded,Normal wear,,,800,1,2025-04-18,,,,PERSONAL COLLECTION
1712967,Flapple [GameStop Holo] #22,Pokemon Rebel Clash,499,Ungraded,Normal wear,,,0,1,2025-04-16,,,,CHECK CENTERING
8871188,Skwovet #131,Pokemon Journey Together,12,Ungraded,Normal wear,,,0,2,2025-04-20,,,,
8871375,Bombirdier [Reverse Holo] #101,Pokemon Journey Together,10,Ungraded,Normal wear,,,0,1,2025-04-20,,,,REVERSE HOLO LOT
2575535,Kuriboh [1st Edition] SYE-019,YuGiOh Starter Deck: Yugi Evolution,100,Ungraded,Normal wear,,,0,1,2025-04-18,,,,CHECK CENTERING
